number,quote
1,"Youve hardly aged at all. In fact, if it were possible, I should say that you had fewer grey hairs than when I saw you last."
2,"Precisely that—careless. But let us not talk of it. You know, Hastings, in many ways I regard you as my mascot."
3,"As soon as I heard you were coming over I said to myself: something will arise. As in former days we will hunt together, we two. But if so it must be no common affair. It must be something"
4,Anyone would think you were ordering a dinner at the Ritz.
5,Whereas one cannot command a crime to order? Very true.
6,"What can one do? I showed it to Japp. He was of the same opinion as you—a stupid hoax—that was the expression he used. They get these things every day at Scotland Yard. I, too, have had my share…."
7,"There is something about that letter, Hastings, that I do not like…."
8,"You are in error, my friend. You do not understand my meaning. A robbery would be a relief since it would dispossess my mind of the fear of something else."
9,"Quite a good advertisement for a hair tonic, hed be. Face fungus sprouting finer than ever. Coming out into the limelight, too, in his old age. Mixed up in all the celebrated cases of the day. Train mysteries, air mysteries, high society deaths—oh, hes here, there and everywhere. Never been so celebrated as since he retired."
10,"I have already told Hastings that I am like the prima donna who makes always one more appearance,"
11,"I shouldnt wonder if you ended by detecting your own death,"
12,"Thats an idea, that is. Ought to be put in a book."
13,"It will be Hastings who will have to do that,"
14,"Bless you, we get dozens of letters like that coming in every day! People with nothing better to do and a bit weak in the top storey sit down and write em. They dont mean any harm! Just a kind of excitement."
15,"I have indeed been foolish to take the matter so seriously,"
16,It is the nest of the horse that I put my nose into there.
17,"You know, Hastings, there is a little device—my hairdresser is a man of great ingenuity—one attaches it to the scalp and brushes ones own hair over it—it is not a wig, you comprehend—but—"
18,"Who shall the victim be—man or woman? Man, I think. Some bigwig. American millionaire. Prime Minister. Newspaper proprietor. Scene of the crime—well, whats wrong with the good old library? Nothing like it for atmosphere. As for the weapon—well, it might be a curiously twisted dagger—or some blunt instrument—a carved stone idol—"
19,theres poison—but thats always so technical. Or a revolver shot echoing in the night. Then there must be a beautiful girl or two—
20,You have made there a very pretty résumé of nearly all the detective stories that have ever been written.
21,"that four people sit down to play bridge and one, the odd man out, sits in a chair by the fire. At the end of the evening the man by the fire is found dead. One of the four, while he is dummy, has gone over and killed him, and intent on the play of the hand, the other three have not noticed. Ah, there would be a crime for you! Which of the four was it?"
22,that a second murder in a book often cheers things up.
23,He had just got back to the Yard. There was a message from Andover….
24,An old woman of the name of Ascher who keeps a little tobacco and newspaper shop has been found murdered.
