number,quote
1,quote
2,"Whatever have you been doing with yourself, Watson?"
3,You are as thin as a lath and as brown as a nut.
4,"Looking for lodgings, Trying to solve the problem as to whether it is possible to get comfortable rooms at a reasonable price."
5,"That's a strange thing, you are the second man to-day that has used that expression to me."
6,And who was the first?
7,"By Jove! If he really wants someone to share the rooms and the expense, I am the very man for him. I should prefer having a partner to being alone."
8,"You don't know Sherlock Holmes yet, perhaps you would not care for him as a constant companion."
9,"Why, what is there against him?"
10,"A medical student, I suppose?"
11,"No--I have no idea what he intends to go in for. I believe he is well up in anatomy, and he is a first-class chemist; but, as far as I know, he has never taken out any systematic medical classes. His studies are very desultory and eccentric, but he has amassed a lot of out-of-the-way knowledge which would astonish his professors."
12,Did you never ask him what he was going in for?
13,"No; he is not a man that it is easy to draw out, though he can be communicative enough when the fancy seizes him."
14,"I should like to meet him. If I am to lodge with anyone, I should prefer a man of studious and quiet habits. I am not strong enough yet to stand much noise or excitement. I had enough of both in Afghanistan to last me for the remainder of my natural existence. How could I meet this friend of yours?"
15,"He is sure to be at the laboratory. He either avoids the place for weeks, or else he works there from morning to night. If you like, we shall drive round together after luncheon."
16,Certainly.
17,If we don't get on it will be easy to part company.
18,"It seems to me, Stamford, that you have some reason for washing your hands of the matter. Is this fellow's temper so formidable, or what is it? Don't be mealy-mouthed about it."
19,It is not easy to express the inexpress
20,quote
21,And yet you say he is not a medical student?
22,"No. Heaven knows what the objects of his studies are. But here we are, and you must form your own impressions about him."
23,How are you?
24,Ha! ha! It is the most practical medico-legal discovery for years. Don't you see that it gives us an infallible test for blood stains. Come over here now!
25,Let us have some fresh blood.
26,Ha! ha! What do you think of that?
27,Beautiful! beautiful! The old Guiacum test was very clumsy and uncertain. So is the microscopic examination for blood corpuscles.
28,Indeed!
29,Criminal cases are continually hinging upon that one point. A man is suspected of a crime months perhaps after it has been committed.
30,You are to be congratulated.
31,There was the case of Von Bischoff at Frankfort last year. He would certainly have been hung had this test been in existence.
32,You seem to be a walking calendar of crime.
33,"Very interesting reading it might be made, too."
34,"I have to be careful, for I dabble with poisons a good deal."
35,We came here on business.
36,That's good enough.
37,"Let me see--what are my other shortcomings. I get in the dumps at times, and don't open my mouth for days on end."
38,Do you include violin-playing in your category of rows?
39,"Oh, that's all right."
40,"Call for me here at noon to-morrow, and we'll go together and settle everything."
41,All right--noon exactly.
42,"By the way, how the deuce did he know that I had come from Afghanistan?"
43,That's just his little peculiarity.
44,Oh! a mystery is it?
45,"You must study him, then."
46,"You'll find him a knotty problem, though. I'll wager he learns more about you than you about him."
47,quote
48,"""You appear to be astonished. Now that I do know it I shall do my best to forget it."""
49,"""What the deuce is it to me?"""
50,""" said the writer, ""a logician could infer the possibility of an Atlantic or a Niagara without having seen or heard of one or the other. So all life is a great chain, the nature of which is known whenever we are shown a single link of it. Like all other arts, the Science of Deduction and Analysis is one which can only be acquired by long and patient study nor is life long enough to allow any mortal to attain the highest possible perfection in it."
