number,quote
1,quote
2,"""Enter, then."""
3,"""I suppose there's someone in my old rooms?"""
4,"""But when are you going?"""
5,"""I thought you always said nothing would induce you to make a long sea voyage?"""
6,"""Speak not of it to me, my friend. My doctor, he assures me that one dies not of it—and it is for the one time only; you understand, that never—never shall I return."""
7,"""The American Soap King?"""
8,"""Only what?"""
9,"""Don't go,"""
10,"I was being got out of the way."""
11,"an American, a Frenchwoman, and—another. Pray the good God we arrive back in time, Hastings."""
12,quote
13,he’s dead
14,"“Something of the kind,” said Poirot evasively."
15,"“Hard to say. Might have been some kind of fit. There are signs of asphyxiation. No gas laid on, is there?”"
16,"“No, electric light—nothing else.”"
17,"“Been dead about two hours, I should say. You’ll notify the proper people, won’t you?”"
18,"“He’s dead right enough, poor chap. Tramp you’ve been befriending, eh?”"
19,"“Something of the kind,” said Poirot evasively."
20,"“What was the cause of death, doctor?”"
21,"“Funny sort of bloke, ain’t he?”"
22,“But what of the three years before that?”
23,"“Mon ami, someone has tampered with it. It had still three days to run. It is an eight-day clock, you comprehend?”"
24,“But what should they want to do that for? Some idea of a false scent by making the crime appear to have taken place at four o’clock?”
25,"“You heard, Hastings? There has been no escape.”"
26,“But the man who came—the keeper?”
27,"“Was he, mon ami? I think not. He was burly and bluff and red-faced, with a thick moustache and a hoarse voice. He will be none of those things by this time, and for the rest, he has nondescript eyes, nondescript ears, and a perfect set of false teeth. Identification is not such an easy matter as you seem to think. Next time—”"
28,“You think there will be a next time?”
29,quote
30,""",isn’t that a bit far-fetched? How would a Chinaman cut any ice in Russia?"
31,""",everything is far-fetched that comes not from your own imagination; for me, I agree with this gentleman. But continue, I pray, monsieur."
32,""",How did they get him?"
33,""",well?"
34,""",what"
35,""",well?"
36,""",that"
37,""",well?"
38,""",that"
39,quote
40,“We ourselves are more than a little interested in Li Chang Yen.”
41,"“On the contrary,”"
42,“we have every reason to believe your story.”
43,"“Not in the least, monsieur.”"
44,“A man took refuge in my rooms.”
45,“He described four people—the Big Four—an organisation hitherto undreamed of.”
46,“Number One is Li Chang Yen.”
47,“Number Two is an unknown American.”
48,“Number Three an equally unknown Frenchwoman.”
49,“Number Four may be called the executive of the organization—the destroyer.”
50,“My informant died.”
51,"“Tell me, monsieur, is that phrase known to you at all?”"
52,“The Big Four.”
53,“Not in connection with Li Chang Yen.”
54,"“No, I can’t say it is.”"
55,"“But I’ve heard it, or read it, just lately—and in some unusual connection too.”"
56,"“Ah, I’ve got it.”"
57,“Here you are.”
58,“Note from an old sea-faring man I ran against once in Shanghai.”
59,"“Hoary old reprobate—maudlin with drink by now, I should say.”"
60,“I took this to be the ravings of alcoholism.”
61,"“Dated from Granite Bungalow, Hoppaton, Dartmoor.”"
62,"“Je vous remercie, monsieur.”"
63,"“Dear me, this is very interesting.”"
64,“Supposing I came along too? Any objection?”
65,"“I should be charmed to have your company, but we must start at once.”"
66,"“Aha, I perceive your point.”"
67,“To continue?”
68,“Clearly he reads not the detective fiction!”
