number,character,quote
1,sh,"Young Overton's face assumed the bothered look of the man who is more
     accustomed to using his muscles than his wits; but by degrees, with
     many repetitions and obscurities which I may omit from his narrative,
     he laid his strange story before us."
2,sh,"I could see that you were commiserating with me over my weakness,"
3,hp,"Oh, she’s very kind. It’s simply wonderful of her to bring me on this trip. I do feel I’m a lucky girl. I just could hardly believe it when she suggested to Mother that I should come too."
4,hp,"You are a man of the world—a man, I think, of considerable acumen. What, frankly, was your opinion of the late Mrs. Marshall?"
5,sh,"I think that this is all we will need,"
6,sh,"I have, of course, studied it, and yet I should be interested to
     have your impression,"
7,hp,Are there any other members of the staff in the house?
8,hp,"Then if she wrote it, there are only two explanations. Either she wrote it in all good faith, knowing herself to be the murderess or—or, I say—she wrote it deliberately to shield someone else, someone whom she feared was suspected."
9,sh,"Exactly, Mr. Holmes. We picked up the scent at Charing Cross
     Post-Office and came on here."
10,hp,"As a matter of fact—my last case—I don’t know whether you read about it—the Mabel Homer case, the Muswell Hill schoolgirl, you know—that man Capper was extraordinary. Amazingly difficult to pin the crime on to him—it was his third, too! Looked as sane as you or I. But there are various tests—verbal traps, you know—quite modern, of course, there was nothing of that kind in your day. Once you can induce a man to give himself away, you’ve got him! He knows that you know and his nerve goes. He starts giving himself away right and left."
11,hp,"eliminate one motive from the case. It is, you comprehend, what I look for first. Who benefits by the deceased’s death? In this case it is a museum. Had it been otherwise, had Mrs. Leidner died intestate but possessed of a considerable fortune, I should imagine that it would prove an interesting question as to who inherited the money—you—or a former husband. But there would have been this difficulty, the former husband would have had to resurrect himself in order to claim it, and I should imagine that he would then be in danger of arrest, though I hardly fancy that the death penalty would be exacted so long after the war. However, these speculations need not arise. As I say, I settle first the question of money. For the next step I proceed always to suspect the husband or wife of the deceased! In this case, in the first place, you are proved never to have gone near your wife’s room yesterday afternoon, in the second place you lose instead of gain by your wife’s death, and in the third place—"
12,mm,"If you remember, he was a man who never said anything much about personal feelings or his own life."
13,mm,"I do think you should be more careful how you choose your friends. You are so credulous, dear, so easily gulled. I suppose it is being a writer and having so much imagination. All that story about a Spanish galleon! If you were older and had more experience of life you would have been on your guard at once. A man you had known only a few weeks, too!"
14,mm,Perhaps you may like to come with us when we go to visit St. Martins in the Grove.
