number,quote
1,quote
2,"‘My dear—it’s extraordinary—no idea—Where, do you say? Juan les Pins? Oh, yes. No—Le Pinet—Yes, just the same old crowd—But of course let’s sit together. Oh, can’t we? Who—? Oh, I see…’"
3,"‘—With the greatest of pleasure, Madame.’"
4,"‘Oh, can’t we? Who—? Oh, I see…’"
5,"‘—With the greatest of pleasure, Madame.’"
6,"‘—With the greatest of pleasure, Madame.’"
7,"‘—With the greatest of pleasure, Madame.’"
8,"‘That’s right,’"
9,"this,"""
10,"blowpipes and poisoned darts in an aeroplane—well, it insults one's intelligence,"""
11,"Doctor?"""
12,"my lads,"""
13,""""
14,"here we are. Marie Morisot—French passport. Know anything about her?"""
15,""""
16,"she must have been dead then!"""
17,"that will be all for now, then. I'll see you again later."""
18,"sir. I don't like it, me having been in charge, so to speak."""
19,"I can't see that you're to blame in any way,"""
20,"I agree, it's a nasty thing to happen."""
21,"I don't think we need detain you now. I'm afraid you'll—er—have to go through certain formalities; all the passengers will. We can't make exceptions,"""
22,""""
23,"what do you think, M. Poirot? We've got to find that blowpipe—if there is a blowpipe and we're not all dreaming! Seems like a kind of nightmare to me."""
24,""""
25,"whether they kick up rough or not; and every bit of truck they had with them has got to be searched too—and that's flat,"""
26,"perhaps,"""
27,quote
28,"'You seem very much interested in that wasp, M. Poirot.'"
29,"'The wasp is not so much interesting as suggestive, eh?'"
30,"'If you ask me,' those two Frenchmen are the ones in this! They were just across the gangway from the Morisot woman. They're a seedy-looking couple, and that battered old suitcase of theirs is fairly plastered with outlandish foreign labels. Shouldn't be surprised if they'd been to Borneo or South America, or wherever it is. Of course, we can't get a line on the motive, but I dare say we can get that from Paris. We'll have to get the Sûreté to collaborate over this. It's their job more than ours. But, if you ask me, those two toughs are our meat.'"
31,"'What you say is possible, certainly, but as regards some of your points you are in error, my friend. Those two men are not toughs—or cut-throats, as you suggest. They are on the contrary two very distinguished and learned archaeologists.'"
32,'Go on—you’re pulling my leg!'
33,"'You’re right, M. Poirot,' but you must admit they don’t look up to much, do they?"
34,"'You don’t say so,' said Japp with a grin. 'Well, let’s have a look at our distinguished archaeologists.'"
35,'Did you keep the blowpipe?'
36,"'What exactly do you mean by somewhere about, Mr Clancy?'"
37,"'It isn’t with you now, for instance?'"
38,"'Oh, you did. Where did you go?'"
39,'So you passed close by the deceased’s seat?'
40,"'Alibi, eh?'"
41,"I didn’t believe it!"""
42,""""
43,"that looks a bit odd for you, I must say,"""
44,"Mr Ryder, that will do,"""
45,"old bird?"""
46,quote
47,"'Just before getting into Croydon I was approached by the chief steward. He asked me if I was a doctor. On my replying in the affirmative, he told me that one of the passengers had been taken ill. On my replying in the affirmative, he told me that one of the passengers had been taken ill. I rose and went with him. The woman in question was lying slumped down in her seat. She had been dead some time.'"
48,'You are the police surgeon for this district?'
49,'I am.'
50,'Will you give your evidence in your own words?'
