number,quote
1,quote
2,"I am afraid, Watson, that I shall have to go."
3,To Dartmoor; to King's Pyland.
4,"We are going well, our rate at present is fifty-three and a half miles an hour."
5,Our rate at present is fifty-three and a half miles an hour.
6,We are going well.
7,Our rate at present is fifty-three and a half miles an hour.
8,It is one of those cases where the art of the reasoner should be used rather for the sifting of details than for the acquiring of fresh evidence.
9,"The tragedy has been so uncommon, so complete and of such personal importance to so many people, that we are suffering from a plethora of surmise, conjecture, and hypothesis."
10,The difficulty is to detach the framework of fact--of absolute undeniable fact--from the embellishments of theorists and reporters.
11,"The fact is that I could not believe it possible that the most remarkable horse in England could long remain concealed, especially in so sparsely inhabited a place as the north of Dartmoor."
12,At least I have got a grip of the essential facts of the case.
13,"Silver Blaze, is from the Somomy stock, and holds as brilliant a record as his famous ancestor."
14,"He is now in his fifth year, and has brought in turn each of the prizes of the turf to Colonel Ross, his fortunate owner."
15,"Up to the time of the catastrophe he was the first favorite for the Wessex Cup, the betting being three to one on him."
16,"It is obvious, therefore, that there were many people who had the strongest interest in preventing Silver Blaze from being there at the fall of the flag next Tuesday."
17,Every precaution was taken to guard the favorite.
18,"He has served the Colonel for five years as jockey and for seven as trainer, and has always shown himself to be a zealous and honest servant."
19,"John Straker, who is a married man, lived in a small villa about two hundred yards from the stables."
20,"He has no children, keeps one maid-servant, and is comfortably off."
21,About half a mile to the north there is a small cluster of villas which have been built
22,quote
23,"""Excellent, Watson, excellent!"""
24,"""The importance of the point struck me so forcibly that I sent a special wire to Dartmoor yesterday to clear the matter up."""
25,"""The window, I may add, was not large enough for a man to get through."""
26,"""Hunter waited until his fellow-grooms had returned, when he sent a message to the trainer and told him what had occurred."""
27,"""Straker was excited at hearing the account, although he does not seem to have quite realized its true significance."""
28,"""It left him, however, vaguely uneasy, and Mrs. Straker, waking at one in the morning, found that he was dressing."""
29,"""She begged him to remain at home, as she could hear the rain pattering against the window, but in spite of her entreaties he pulled on his large mackintosh and left the house."""
30,"""Mrs. Straker awoke at seven in the morning, to find that her husband had not yet returned."""
31,"""She dressed herself hastily, called the maid, and set off for the stables."""
32,"""The door was open; inside, huddled together upon a chair, Hunter was sunk in a state of absolute stupor, the favorite's stall was empty, and there were no signs of his trainer."""
33,"""The two lads who slept in the chaff-cutting loft above the harness-room were quickly aroused."""
34,"""Hunter was obviously under the influence of some powerful drug, and as no sense could be got out of him, he was left to sleep it off while the two lads and the two women ran out in search of the absentees."""
35,"""They still had hopes that the trainer had for some reason taken out the horse for early exercise, but on ascending the knoll near the house, from which all the neighboring moors were visible, they not only could see no signs of the missing favorite, but they perceived something which warned them that they were in the presence of a tragedy."""
36,"""About a quarter of a mile from the stables John Straker's overcoat was flapping from a furze-bush."""
37,"""Immediately beyond there was a bowl-shaped depression in the moor, and at the bottom of this was found the dead body of the unfortunate trainer."""
38,"""His head had been shattered by a"
39,quote
40,"""I am afraid that whatever theory we state has very grave objections"
41,""""
42,"""Have there been any fresh developments?"""
43,"""The net is drawn pretty close round Fitzroy Simpson,"" he remarked,"
44,and that some
45,"""How about Straker's knife?"""
46,"""Undoubtedly. He has neither a knife nor any sign of a wound. The"
47,he was undoubtedly out
48,"he was armed with a heavy stick, and his cravat was"
49,"""A clever counsel would tear it all to rags,"""
50,"""Why should he take the horse out of the stable? If he"
51,"where could he, a stranger to the district, hide a"
52,and such a horse as this? What is his own explanation as to
53,"""What does he say about the cravat?"""
54,"""We have found traces which show that a party of gypsies encamped on"
55,presuming that there was some
56,might he not have
57,and may they
58,"""The moor is being scoured for these gypsies. I have also examined"
59,and for a radius of ten
60,"""There is another training-stable quite close, I understand?"""
61,"""As Desborough, their horse, was second in the betting, they had an"
62,quote
63,"""I thought so. A very delicate blade devised for very delicate work."
64,
65,"""Very possible. How about these papers?"""
66,"""Madam Derbyshire had somewhat expensive tastes,"" remarked Holmes,"
67,
68,"""Surely I met you in Plymouth at a garden-party some little time ago,"
69,"""Dear me! Why, I could have sworn to it. You wore a costume of"
70,"""Ah, that quite settles it,"" said Holmes. And with an apology he"
71,"""There was no wind that night, I understand."""
72,"""In that case the overcoat was not blown against the furze-bush, but"
73,"""Yes, it was laid across the bush."""
74,"""You fill me with interest, I perceive that the ground has been"
75,"""Excellent."""
76,"""In this bag I have one of the boots which Straker wore, one of"
77,"and a cast horseshoe of Silver Blaze."""
78,"""My dear Inspector, you surpass yourself!"""
79,"""Hullo!"" said he, suddenly. ""What's this?"""
80,"""It was invisible, buried in the mud. I only saw it because I was"
81,"""What! You expected to find it?"""
82,"""I thought it not unlikely."""
83,"""I am afraid that there are no more tracks,"" said the Inspector. ""I"
84,"""Indeed!"" said Holmes, rising. ""I should not have the impertinence to"
85,that I may know my ground
86,and I think that I shall put this horseshoe into
87,"""quote"""
88,"""We don't want any loiterers about here."""
89,"""I only wished to ask a question, Should I be too early to see your master, Mr. Silas Brown, if I were to call at five o'clock to-morrow morning?"""
90,"""Bless you, sir, if any one is about he will be, for he is always the first stirring. But here he is, sir, to answer your questions for himself. No, sir, no; it is as much as my place is worth to let him see me touch your money. Afterwards, if you like."""
91,"""What's this, Dawson! No gossiping! Go about your business! And you, what the devil do you want here?"""
92,"""Ten minutes' talk with you, my good sir."""
93,"""I've no time to talk to every gadabout. We want no stranger here. Be off, or you may find a dog at your heels."""
94,"""It's a lie! an infernal lie!"""
95,"""Very good. Shall we argue about it here in public or talk it over in your parlor?"""
96,"""Oh, come in if you wish to."""
97,"""I shall not keep you more than a few minutes, Watson, Now, Mr. Brown, I am quite at your disposal."""
98,"""Your instructions will be done. It shall all be done."""
99,"""There must be no mistake. It shall be there. Should I change it first or not?"""
100,"""No, don't, I shall write to you about it. No tricks, now, or--"""
101,"""Oh, you can trust me, you can trust me!"""
102,"""Yes, I think I can. Well, you shall hear from me to-morrow. He turned upon his heel, disregarding the trembling hand which the other held out to him, and we set off for King's Pyland."""
103,"""A more perfect compound of the bully, coward, and sneak than Master Silas Brown I have seldom met with."""
104,"""He has the horse, then?"""
105,"""He tried to bluster out of it, but I described to him so exactly what his actions had been upon that morning that he is convinced that I was"
106,"quote"""
107,"""How is the betting?"""
108,"""Hum!"""
109,"""Five to four against Silver Blaze!"""
110,"""Only five have passed. This must be he."""
111,"""Well, well, let us see how he gets on."""
112,"""Capital! An excellent start!"""
113,"""Yes, the horse. And it may lessen his guilt if I say that it was done in self-defence, and that John Straker was a man who was entirely unworthy of your confidence."""
114,"""I assure you that I have not associated you with the crime, Colonel."""
115,"""The real murderer is standing immediately behind you."""
116,"""The horse!"""
117,"""But there goes the bell, and as I stand to win a little on this next race, I shall defer a lengthy explanation until a more fitting time."""
118,"""I confess, that any theories which I had formed from the newspaper reports were entirely erroneous. And yet there were indications there, had they not been overlaid by other details which concealed their true import."""
119,"""It was the first link in my chain of reasoning. Powdered opium is by no means tasteless. The flavor is not disagreeable, but it is perceptible."""
120,"""Were it mixed with any ordinary dish the eater would undoubtedly detect it, and would probably eat no more. A curry was exactly the medium which would disguise this taste."""
