number,quote
1,"Quite a good advertisement for a hair tonic, hed be. Face fungus sprouting finer than ever. Coming out into the limelight, too, in his old age. Mixed up in all the celebrated cases of the day. Train mysteries, air mysteries, high society deaths—oh, hes here, there and everywhere. Never been so celebrated as since he retired."
2,"I shouldnt wonder if you ended by detecting your own death,"
3,"Thats an idea, that is. Ought to be put in a book."
4,"It had quite slipped my memory. Let me see, what was the date mentioned?"
5,Thats what I dropped in about. Yesterday was the 21st and just out of curiosity I rang up Andover last night. It was a hoax all right. Nothing doing. One broken shop window—kid throwing stones—and a couple of drunk and disorderlies. So just for once our Belgian friend was barking up the wrong tree.
6,"Youd quite got the wind up about it, hadnt you?"
7,"Bless you, we get dozens of letters like that coming in every day! People with nothing better to do and a bit weak in the top storey sit down and write em. They dont mean any harm! Just a kind of excitement."
8,It is the nest of the horse that I put my nose into there.
9,"Just a couple of proverbs. Well, I must be off. Got a little business in the next street to see to—receiving stolen jewellery. I thought Id just drop in on my way and put your mind at rest. Pity to let those grey cells function unnecessarily."
10,"Weve found a man who went in and bought some tobacco at 5:30. And a second man went in and found the shop empty, as he thought, at five minutes past six. That puts the time at between 5:30 and 6:5. So far I havent been able to find anyone who saw this man Ascher in the neighbourhood, but, of course, its early as yet. He was in the Three Crowns at nine oclock pretty far gone in drink. When we get hold of him hell be detained on suspicion."
11,"No, no, I do not mean that—you would not hurt a poor old man—not be hard on him. Everyone is hard on poor old Franz. Poor old Franz."
12,"Pull yourself together. Im not charging you with anything—yet. And youre not bound to make a statement unless you like. On the other hand, if youre not concerned in the murder of your wife—"
13,And there was nothing—how shall I put it—introduced into the shop? Nothing that was odd there—incongruous?
14,Yes. It was open and turned face downward on the counter. Looked as though someone had been looking up the trains from Andover. Either the old woman or a customer.
15,"No, they dont. And thats another point in his favour. Ive just told the Chief Constable that I think this is a job for Scotland Yard. I dont believe its a local crime."
16,"You know, Monsieur Poirot, its a nasty business—a nasty business…I dont like it…."
17,With the schools breaking up and the holidays beginning? People are fairly flooding into the place this week.
18,"Ill have a watch kept on anyone connected with the Ascher business. Those two witnesses, Partridge and Riddell, and of course Ascher himself. If they show any sign of leaving Andover theyll be followed."
19,"As a matter of fact—my last case—I dont know whether you read about it—the Mabel Homer case, the Muswell Hill schoolgirl, you know—that man Capper was extraordinary. Amazingly difficult to pin the crime on to him—it was his third, too! Looked as sane as you or I. But there are various tests—verbal traps, you know—quite modern, of course, there was nothing of that kind in your day. Once you can induce a man to give himself away, youve got him! He knows that you know and his nerve goes. He starts giving himself away right and left."
20,"Were you informed, by any chance, how and with what the girl was strangled?"
21,"Strangled with her own belt—a thick, knitted affair, I gather."
22,"At last we have a piece of information that is very definite. That tells one something, does it not?"
23,Youll see! You wont be able to serve teas fast enough!
24,"And weve every sympathy for you, but we want to know all the facts we can so as to get to work as quick as possible."
25,"Independent, thats what they are. These summer evenings theyre not going to rush home. All the same, Betty was usually in by eleven."
26,I dont know. I walked. It must have been midnight or after when I got home.
27,"While you pursued your investigations upstairs I have been conversing with Miss Barnard and Mr. Fraser, endeavouring if I could to find something that will throw light upon the matter."
28,"My God, are you telling me were going to have five more murders?"
29,"Which letter of the alphabet do you place it at, inspector?"
30,No news as yet. All men available are on the lookout. All persons whose name begins with C are being warned by phone when possible. Theres just a chance. Wheres the letter?
31,"Its not much good looking for motives at this stage, Mr. Clarke,"
32,"Thats a matter for an alienist—though I may say that Ive had a certain experience of criminal lunacy and that the motives are usually grossly inadequate. There is a desire to assert ones personality, to make a splash in the public eye—in fact, to be a somebody instead of a nonentity."
33,"At any rate such a man cannot escape detection long,"
34,"Not exactly hanging about. Of course, there are a lot of people what you might call wandering about at this time of year. One often meets people strolling with an aimless look across the golf links or down the lanes to the sea. In the same way, practically everyone one sees this time of year is a stranger."
35,"Ill take this with me, M. Poirot. If you care to take a copy of it—"
36,"I may tell you, inspector, that weve formed an association of our own to deal with the matter. A legion of interested parties."
37,"The fool has given us ample warning. The 11th isnt till Wednesday of next week. That gives ample time for a publicity campaign in the press. Doncaster will be thoroughly warned. Every soul whose name begins with a D will be on his or her guard—thats so much to the good. Also, well draft police into the town on a fairly large scale. Thats already been arranged for by consent of all the Chief Constables in England. The whole of Doncaster, police and civilians, will be out to catch one man—and with reasonable luck, we ought to get him!"
38,"Get me out a list of all stocking manufacturing firms and circularize them. I want a list of all their agents—you know, fellows who sell on commission and tout for orders."
39,"Right, sir. Mr. Poirots done some good stuff in his time, but I think hes a bit gaga now, sir."
40,"Always posing. Takes in some people. It doesnt take in me. Now then, about the arrangement for Doncaster…."
41,I—well—Im not exactly sure. I think he was bald. A sinister-looking fellow.
42,"Yes—yes, now you come to speak of it I think he did limp. Very dark, he might have been some kind of half-caste."
43,"I have a weak heart, sir—a very weak heart, it might have been the death of me."
44,"That is, if the facts are as the boy stated them. Weve had no luck with the stocking manufacturers yet. It was time we got hold of something. By the way, give me that file of the Churston case."
