number,quote
1,"You’ve hardly aged at all. In fact, if it were possible, I should say that you had fewer grey hairs than when I saw you last."
2,You have dyed your hair!
3,"Ah, the comprehension comes to you!"
4,An enterprising murderer!
5,"Not so much enterprising as careless,"
6,"Precisely that—careless. But let us not talk of it. You know, Hastings, in many ways I regard you as my mascot."
7,Indeed?
8,"As soon as I heard you were coming over I said to myself: something will arise. As in former days we will hunt together, we two. But if so it must be no common affair. It must be something"
9,Anyone would think you were ordering a dinner at the Ritz.
10,Whereas one cannot command a crime to order? Very true.
11,"Postmarked WC1,"
12,"Well, what is your opinion?"
13,But you think there is?
14,"What can one do? I showed it to Japp. He was of the same opinion as you—a stupid hoax—that was the expression he used. They get these things every day at Scotland Yard. I, too, have had my share…."
15,But you take this one seriously?
16,"There is something about that letter, Hastings, that I do not like…."
17,"You are in error, my friend. You do not understand my meaning. A robbery would be a relief since it would dispossess my mind of the fear of something else."
18,Of what?
19,"Murder,"
20,"Quite a good advertisement for a hair tonic, he’d be. Face fungus sprouting finer than ever. Coming out into the limelight, too, in his old age. Mixed up in all the celebrated cases of the day. Train mysteries, air mysteries, high society deaths—oh, he’s here, there and everywhere. Never been so celebrated as since he retired."
21,"I have already told Hastings that I am like the prima donna who makes always one more appearance,"
22,"I shouldn’t wonder if you ended by detecting your own death,"
23,"That’s an idea, that is. Ought to be put in a book."
24,"It will be Hastings who will have to do that,"
25,"Ha ha! That would be a joke, that would,"
26,"I am relieved, I must confess,"
27,"Bless you, we get dozens of letters like that coming in every day! People with nothing better to do and a bit weak in the top storey sit down and write ’em. They don’t mean any harm! Just a kind of excitement."
28,"I have indeed been foolish to take the matter so seriously,"
29,It is the nest of the horse that I put my nose into there.
30,"You’re mixing up mares and wasps,"
31,"He does not change much, the good Japp, eh?"
32,"He looks much older,"
33,"Getting as grey as a badger,"
34,"You know, Hastings, there is a little device—my hairdresser is a man of great ingenuity—one attaches it to the scalp and brushes one’s own hair over it—it is not a wig, you comprehend—but—"
35,"Who shall the victim be—man or woman? Man, I think. Some bigwig. American millionaire. Prime Minister. Newspaper proprietor. Scene of the crime—well, what’s wrong with the good old library? Nothing like it for atmosphere. As for the weapon—well, it might be a curiously twisted dagger—or some blunt instrument—a carved stone idol—"
36,there’s poison—but that’s always so technical. Or a revolver shot echoing in the night. Then there must be a beautiful girl or two—
37,You have made there a very pretty résumé of nearly all the detective stories that have ever been written.
38,"Well,"
39,"that four people sit down to play bridge and one, the odd man out, sits in a chair by the fire. At the end of the evening the man by the fire is found dead. One of the four, while he is dummy, has gone over and killed him, and intent on the play of the hand, the other three have not noticed. Ah, there would be a crime for you! Which of the four was it?"
40,"Well,"
41,"that a second murder in a book often cheers things up. If the murder happens in the first chapter, and you have to follow up everybody’s alibi until the last page but one—well, it does get a bit tedious."
42,"’Allo,"
43,"’Allo. Yes, it is Hercule Poirot speaking."
