number,quote
1,"I owe you a
     thousand apologies. I had no idea that you would be so affected."
2,"Is it really you? Can it indeed be that you are
     alive? Is it possible that you succeeded in climbing out of that
     awful abyss?"
3,"That you, Lestrade?"
4,"Yes, Mr. Holmes. I took the job myself. It's good to see you back in
     London, sir."
5,"You clever, clever fiend!"
6,"Ah, Colonel!"
7,"'journeys
     end in lovers' meetings,' as the old play says. I don't think I have
     had the pleasure of seeing you since you favoured me with those
     attentions as I lay on the ledge above the Reichenbach Fall."
8,"You
     cunning, cunning fiend!"
9,"I have not introduced you yet,"
10,"This, gentlemen, is
     Colonel Sebastian Moran, once of Her Majesty's Indian Army, and the
     best heavy game shot that our Eastern Empire has ever produced. I
     believe I am correct, Colonel, in saying that your bag of tigers
     still remains unrivalled?"
11,"I wonder that my very simple stratagem could deceive so old a
     shikari,"
12,"It must be very familiar to you. Have you not
     tethered a young kid under a tree, lain above it with your rifle, and
     waited for the bait to bring up your tiger? This empty house is my
     tree and you are my tiger. You have possibly had other guns in
     reserve in case there should be several tigers, or in the unlikely
     supposition of your own aim failing you. These,"
13,"I confess that you had one small surprise for me,"
14,"I
     did not anticipate that you would yourself make use of this empty
     house and this convenient front window. I had imagined you as
     operating from the street, where my friend Lestrade and his merry men
     were awaiting you. With that exception all has gone as I expected."
15,"Well, that's reasonable enough,"
16,"noiseless and of
     tremendous power. I knew Von Herder, the blind German mechanic, who
     constructed it to the order of the late Professor Moriarty. For years
     I have been aware of its existence, though I have never before had
     the opportunity of handling it. I commend it very specially to your
     attention, Lestrade, and also the bullets which fit it."
17,Anything further to say?
18,"I hope you preserved all precautions, Mrs. Hudson?"
19,"I went to it on my knees, sir, just as you told me."
20,"Excellent. You carried the thing out very well. Did you observe
     where the bullet went?"
21,"The
     man's career is that of an honourable soldier."
22,"It is true,"
23,"Up to a certain point he did well. He
     was always a man of iron nerve, and the story is still told in India
     how he crawled down a drain after a wounded man-eating tiger. There
     are some trees, Watson, which grow to a certain height and then
     suddenly develop some unsightly eccentricity. You will see it often
     in humans. I have a theory that the individual represents in his
     development the whole procession of his ancestors, and that such a
     sudden turn to good or evil stands for some strong influence which
     came into the line of his pedigree. The person becomes, as it were,
     the epitome of the history of his own family."
24,THE ADVENTURE OF THE NORWOOD BUILDER
25,"He shrugged his shoulders in
     humorous deprecation of the state of things which he had himself done
     so much to produce.

     At the time of which I speak Holmes had been back for some months,
     and I, at his request, had sold my practice and returned to share the
     old quarters in Baker Street. A young doctor, named Verner, had
     purchased my small Kensington practice, and given with astonishingly
     little demur the highest price that I ventured to ask--an incident
     which only explained itself some years later when I found that Verner
     was a distant relation of Holmes's, and that it was my friend who had
     really found the money.

     Our months of partnership had not been so uneventful as he had
     stated, for I find, on looking over my notes, that this period
     includes the case of the papers of Ex-President Murillo, and also the
     shocking affair of the Dutch steamship Friesland, which so nearly
     cost us both our lives. His cold and proud nature was always averse,
     however, to anything in the shape of public applause, and he bound me
     in the most stringent terms to say no further word of himself, his
     methods, or his successes--a prohibition which, as I have explained,
     has only now been removed.

     Mr. Sherlock Holmes was leaning back in his chair after his whimsical
     protest, and was unfolding his morning paper in a leisurely fashion,
     when our attention was arrested by a tremendous ring at the bell,
     followed immediately by a hollow drumming sound, as if someone were
     beating on the outer door with his fist. As it opened there came a
     tumultuous rush into the hall, rapid feet clattered up the stair, and
     an instant later a wild-eyed and frantic young man, pale,
     dishevelled, and palpitating, burst into the room. He looked from one
     to the other of us, and under our gaze of inquiry he became conscious
     that some apology was needed for this unceremonious entry."
26,
27,"He wrung his hands in an agony of
     apprehension, and swayed backwards and forwards in his chair.

     I looked with interest upon this man, who was accused of being the
     perpetrator of a crime of violence. He was flaxen-haired and handsome
     in a washed-out negative fashion, with frightened blue eyes and a
     clean-shaven face, with a weak, sensitive mouth. His age may have
     been about twenty-seven; his dress and bearing that of a gentleman.
     From the pocket of his light summer overcoat protruded the bundle of
     endorsed papers which proclaimed his profession."
28,"One moment, Lestrade,"
29,"Half an hour more or less can
     make no difference to you, and the gentleman was about to give us an
     account of this very interesting affair, which might aid us in
     clearing it up."
30,
31,
32,
33,
34,said Lestrade.
35,
36,
37,
38,
39,"This sounds serious,"
40,"It is Lestrade's little cock-a-doodle of victory,"
41,"And yet it may be premature to abandon the
     case. After all, important fresh evidence is a two-edged thing, and
     may possibly cut in a very different direction to that which Lestrade
     imagines. Take your breakfast, Watson, and we will go out together
     and see what we can do. I feel as if I shall need your company and
     your moral support to-day."
42,"You certainly have the air of something unusual having occurred,"
43,"You don't like being beaten any more than the rest of us do,"
44,"Yes, that is final,"
45,"It is final,"
46,"There, that's enough,"
47,I will do my best. How many constables have you?
48,There are three within call.
49,Excellent!
50,"May I ask if they are all large,
     able-bodied men with powerful voices?"
51,"Perhaps I can help you to see that and one or two other things as
     well,"
52,"Kindly summon your men, and I will try."
53,"In the outhouse you will find a considerable quantity of straw,"
54,"I will ask you to carry in two bundles of it. I think
     it will be of the greatest assistance in producing the witness whom I
     require. Thank you very much. I believe you have some matches in your
     pocket, Watson. Now, Mr. Lestrade, I will ask you all to accompany me
     to the top landing."
55,"If you know anything, you can surely say it
     without all this tomfoolery."
56,Capital!
57,"Watson, a bucket of water over the
     straw. That will do! Lestrade, allow me to present you with your
     principal missing witness, Mr. Jonas Oldacre."
58,"There's the advantage of being a builder,"
59,"He was able to fix up his own little hiding-place without any
     confederate--save, of course, that precious housekeeper of his, whom
     I should lose no time in adding to your bag, Lestrade."
60,"And you'll probably find that your creditors will impound the
     banking account of Mr. Cornelius,"
61,"I have to thank you for a good deal,"
62,"Oh, that's your idea!"
63,What else should it be?
64,"They told
     me that you were fond of queer mysteries, and I don't think you can
     find a queerer one than that. I sent the paper on ahead so that you
     might have time to study it before I came."
65,"It is certainly rather a curious production,"
66,"At first
     sight it would appear to be some childish prank. It consists of a
     number of absurd little figures dancing across the paper upon which
     they are drawn. Why should you attribute any importance to so
     grotesque an object?"
67,"We had not long to wait, for our Norfolk squire came straight from
     the station as fast as a hansom could bring him. He was looking
     worried and depressed, with tired eyes and a lined forehead."
68,
69,"He unfolded a paper and laid it upon the
     table. Here is a copy of the hieroglyphics:--

     [ Picture: Picture of a few dancing men ]"
70,
71,"Again he produced a paper. The new dance was in this form:--

     [ Picture: Picture of five dancing men figures ]"
72,
73,
74,
75,
76,"Inspector Martin had the good sense to allow my friend to do things
     in his own fashion, and contented himself with carefully noting the
     results. The local surgeon, an old, white-haired man, had just come
     down from Mrs. Hilton Cubitt's room, and he reported that her
     injuries were serious, but not necessarily fatal. The bullet had
     passed through the front of her brain, and it would probably be some
     time before she could regain consciousness. On the question of
     whether she had been shot or had shot herself he would not venture to
     express any decided opinion. Certainly the bullet had been discharged
     at very close quarters. There was only the one pistol found in the
     room, two barrels of which had been emptied. Mr. Hilton Cubitt had
     been shot through the heart. It was equally conceivable that he had
     shot her and then himself, or that she had been the criminal, for the
     revolver lay upon the floor midway between them."
