number,quote
1,quote
2,"Well, that’ll have to do"
3,It seems to me a very beautiful gown
4,That’s all right
5,"Take it off, Stephanie"
6,"Not for a moment, I’m sure"
7,That’s all right
8,Good old Stephanie
9,Why are you worried about Carrie Louise?
10,She’s not ill
11,Unhappy?
12,Carrie Louise was always the one of us who had ideals
13,Her circumstances
14,"No, it’s she herself"
15,"Of course, it was the fashion when we were young to have ideals"
16,One gets over all that nonsense
17,"Marriage, I suppose one might say, knocks it out of one"
18,"Take it by and large, I haven’t done badly out of marriage"
19,Of course
20,"She’s always had a tendency, you know, to marry cranks"
21,People with ideals
22,Just like Desdemona and Othello
23,Only fortunately there was no Iago about to mess things up—and anyway Gulbrandsen wasn’t coloured
24,The name of Gulbrandsen had an international significance
25,"She didn’t marry him for his money, you know"
26,I should have if I’d married him at all
27,But not Carrie Louise
28,"She’s got experience, but she’s still adaptable"
29,I was really happiest about Carrie Louise when she was married to Johnnie Restarick
30,"Of course, he married her for her money—or if not exactly that, at any rate he wouldn’t have married her if she hadn’t had any"
31,"Johnnie was a selfish pleasure-loving lazy hound, but that’s so much safer than a crank"
32,Give him comfort and luxury and he’ll purr like a cat and be absolutely charming to you
33,quote
34,“Did she care very much?”
35,"“I wonder,”"
36,"“But you haven’t told me yet, Ruth, what you are really afraid of.”"
37,“Me?”
38,"“The worst is so often true,”"
39,"“You have never lived in a village, Ruth. The things that go on in a pure peaceful village would probably surprise you.”"
40,"“But, Ruth dear, that would be a most difficult thing to do.”"
41,"“I remember,”"
42,"“But why should I be mad at you, Ruth? A very ingenious and plausible approach. I’m sure Carrie Louise responded.”"
43,“Going to Stonygates as an object of charity—more or less under false pretences? Not in the least—if it is necessary. You think it is necessary—and I am inclined to agree with you.”
44,"“I haven’t heard anything. It’s just your conviction. You’re not a fanciful woman, Ruth.”"
45,"“I remember,”"
46,"“one Sunday morning at church—it was the second Sunday in Advent—sitting behind Grace Lamble and feeling more and more worried about her. Quite sure, you know, that something was wrong—badly wrong—and yet being quite unable to say why. A most disturbing feeling and very, very definite.”"
47,“And was there something wrong?”
48,"“Oh yes. Her father, the old admiral, had been very peculiar for some time, and the very next day he went for her with the coal hammer, roaring out that she was Antichrist masquerading as his daughter. He nearly killed her. They took him away to the asylum and she eventually recovered after months in hospital—but it was a very near thing.”"
49,“And you’d actually had a premonition that day in church?”
50,perhaps—a month. That should be ample.”
51,"but it has largely been a matter of Christmas cards or calendars. It’s just the facts I should like, Ruth dear—and also some idea as to whom exactly I shall encounter in the household at Stonygates.”"
52,"you know about Carrie Louise’s marriage to Gulbrandsen. There were no children and Carrie Louise took that very much to heart. Gulbrandsen was a widower, and had three grown-up sons. Eventually they adopted a child. Pippa, they called her—a lovely little creature. She was just two years old when they got her.”"
53,"now, Jane, I can’t remember—if I ever heard, that is. An adoption society, maybe? Or some unwanted child that Gulbrandsen had heard about. Why? Do you think it’s important?”"
54,"one always likes to know the background, so to speak. But please go on.”"
