number,quote
1,quote
2,"But yes, my friend, it is of a most pleasing symmetry, do you not find it so?"
3,"Ah, you remember that? Alas! no—science has not yet induced the hens to conform to modern tastes, they still lay eggs of different sizes and colours!"
4,And why is that not possible? It is quite true.
5,Do you mean your hair is turning from grey to black instead of from black to grey?
6,Not at all.
7,But surely that’s a scientific impossibility!
8,"As usual, Hastings, you have the beautiful and unsuspicious mind. Years do not change that in you! You perceive a fact and mention the solution of it in the same breath without noticing that you are doing so!"
9,You perceive a fact and mention the solution of it in the same breath without noticing that you are doing so!
10,So that’s why your hair looks so much blacker than it did last time I was back.
11,Exactly.
12,Dear me. I suppose next time I come home I shall find you wearing false moustaches—or are you doing so now?
13,"No, no, indeed, mon ami. That day, I pray the good God, is still far off. The false moustache! Quel horreur!"
14,"Never, in the whole of London, have I seen a pair of moustaches to equal mine."
15,"You’re looking in fine fettle, Poirot. You’ve hardly aged at all. In fact, if it were possible, I should say that you had fewer grey hairs than when I saw you last."
16,And why is that not possible? It is quite true.
17,Do you mean your hair is turning from grey to black instead of from black to grey?
18,Not at all.
19,But that’s very extraordinary. It seems against nature.
20,"As usual, Hastings, you have the beautiful and unsuspicious mind. Years do not change"
21,quote
22,"“Well, what is your opinion?”"
23,"“Some madman or other, I suppose.”"
24,“That is all you have to say?”
25,“Doesn’t it sound like a madman to you?”
26,"“A madman, mon ami, is to be taken seriously. A madman is a very dangerous thing.”"
27,“Comment? Nine? Nine what?”
28,"“Nothing—just an expression. I meant a fellow who was tight. No, damn it, a fellow who had had a spot too much to drink.”"
29,"“Merci, Hastings—the expression ‘tight’ I am acquainted with it. As you say, there may be nothing more to it than that….”"
30,“But you think there is?”
31,"“There is something about that letter, Hastings, that I do not like….”"
32,"“If you really take it seriously, can’t you do something?”"
33,"“Not instinct, Hastings. Instinct is a bad word. It is my knowledge—my experience—that tells me that something about that letter is wrong—”"
34,“I may be making the mountain out of the anthill. In any case there is nothing to be done but wait.”
35,"“Ah, what a comfort that would be—!”"
